epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,72.4126,0.46935,0.70582,0.87575,0.99655,1,0.995,0.73212,1.13706,0.72469,0.96805,0.0002774,0.0002774,0.0002774
89,73.1902,0.40208,0.62054,0.84446,0.99653,1,0.995,0.73265,1.12694,0.72919,0.96337,0.0002576,0.0002576,0.0002576
90,73.9899,0.43322,0.62044,0.8858,0.99668,1,0.995,0.71733,1.12013,0.73175,0.96122,0.0002378,0.0002378,0.0002378
91,77.1917,0.44915,0.77178,0.84428,0.99668,1,0.995,0.71733,1.12013,0.73175,0.96122,0.000218,0.000218,0.000218
92,77.9718,0.45389,0.71181,0.84146,0.99664,1,0.995,0.71522,1.12688,0.73826,0.96795,0.0001982,0.0001982,0.0001982
93,78.6448,0.47279,0.74261,0.84997,0.99649,1,0.995,0.71687,1.1537,0.73947,0.97889,0.0001784,0.0001784,0.0001784
94,79.3992,0.39833,0.73231,0.84886,0.99639,1,0.995,0.71375,1.17936,0.74485,0.98696,0.0001586,0.0001586,0.0001586
95,80.1167,0.39127,0.76158,0.81443,0.99639,1,0.995,0.71375,1.17936,0.74485,0.98696,0.0001388,0.0001388,0.0001388
96,80.845,0.41632,0.75257,0.82382,0.99656,1,0.995,0.70206,1.18207,0.72148,0.98204,0.000119,0.000119,0.000119
97,81.5899,0.47509,0.75312,0.87556,0.99664,1,0.995,0.70116,1.19973,0.73767,0.98779,9.92e-05,9.92e-05,9.92e-05
98,82.3374,0.43181,0.80715,0.88195,0.99671,1,0.995,0.70114,1.20944,0.75244,0.98879,7.94e-05,7.94e-05,7.94e-05
99,83.0459,0.39344,0.71534,0.81027,0.99671,1,0.995,0.70114,1.20944,0.75244,0.98879,5.96e-05,5.96e-05,5.96e-05
100,83.7287,0.39672,0.72825,0.82304,0.9967,1,0.995,0.69281,1.20256,0.75405,0.98515,3.98e-05,3.98e-05,3.98e-05
